,Depth,Nodes,Time
0,1,21836,1356
1,2,49424,3490
2,3,463722,22282
3,4,1293762,79666
4,5,11588435,584455
5,6,43730050,2439195
6,7,348305420,18453501
7,8,2365832491,123574013
