,Depth,Nodes,Time
0,1,21836,1316
1,2,49424,3400
2,3,463722,21532
3,4,1293762,77404
4,5,11588435,556533
5,6,43730050,2440809
6,7,348305420,18161204
7,8,2365832491,119198460
