,Depth,Nodes,Time
0,1,21836,1320
1,2,49424,3503
2,3,463722,22010
3,4,1293762,78483
4,5,11588435,606083
5,6,43730050,2484580
6,7,348305420,17525958
7,8,2365832491,118790983
